Palabras            			Doc1.txt		Doc2.txt		doc3.txt		
elaboración:        			1			0			0
preocupado:         			0			1			0
revista:            			1			1			0
grandes:            			1			0			2
desactualizados:    			0			1			0
hacía:              			2			2			6
profes:             			0			0			2
espera:             			1			0			0
ensenando:          			0			0			2
iñaki:              			0			1			0
molesto:            			0			3			0
prórroga:           			0			1			0
noche:              			0			2			0
profesión:          			0			1			0
cartas:             			0			0			1
dando:              			1			2			0
olor:               			0			1			0
alumno:             			0			1			0
estructuras:        			0			0			6
llevarlo:           			1			0			0
dragón:             			3			0			0
mega:               			1			1			0
cuento:             			0			2			1
efectivamente:      			2			0			0
adrede:             			0			1			0
segundo:            			1			2			2
podía:              			0			1			6
preguntamos:        			0			1			0
z:                  			1			0			0
bugs:               			0			0			1
algún:              			5			4			1
resúmame:           			1			0			0
revistas:           			1			2			1
promover:           			1			0			0
problemas:          			6			5			10
perfil:             			0			1			0
constantemente:     			0			1			1
quisiera:           			1			1			0
funciones:          			0			0			1
configuramos:       			0			1			0
porta:              			1			0			0
quedando:           			1			0			0
funcionar:          			0			1			0
animo:              			0			1			0
etapa:              			0			2			0
triste:             			0			0			1
preparar:           			0			2			0
sony:               			0			3			0
seminario:          			0			1			0
ayudo:              			1			0			0
preguntas:          			4			20			8
haya:               			0			0			2
justamente:         			5			0			0
sepan:              			1			0			0
jocosa:             			0			1			0
sensible:           			1			0			0
seguimos:           			0			1			0
incluyan:           			0			0			1
viva:               			0			1			0
emplees:            			0			0			1
entiendan:          			0			1			2
herir:              			0			0			1
clases:             			7			6			7
uy:                 			1			0			0
viejos:             			0			1			0
cuestiones:         			1			0			0
nuevos:             			1			0			1
enfocamos:          			0			0			1
calificar:          			0			0			1
dices:              			2			5			0
perseverar:         			0			1			0
serranos:           			0			1			0
profesoras:         			0			1			0
anterior:           			1			0			4
inquietud:          			1			0			0
película:           			0			1			0
pregunta:           			2			11			4
respaldarse:        			0			1			0
compañero:          			4			0			0
realidad:           			3			0			13
básica:             			1			0			1
tenían:             			7			0			9
añadas:             			0			1			0
salida:             			1			0			0
dirigir:            			0			1			0
diseñen:            			0			0			1
usuario:            			0			2			1
malicia:            			0			1			0
diferenciar:        			0			1			0
constante:          			0			0			1
citen:              			1			0			0
hay:                			25			47			22
q:                  			0			3			0
ingenierías:        			1			0			0
incluirlo:          			0			0			2
astucia:            			0			1			0
orden:              			1			2			1
llaman:             			0			2			0
explico:            			0			1			0
digas:              			1			0			0
temores:            			1			0			0
atiendo:            			0			2			0
responsable:        			2			0			0
llega:              			0			3			0
significa:          			0			2			0
pudo:               			0			2			0
hablaba:            			0			0			1
utilice:            			0			1			0
aparecen:           			0			0			1
empezando:          			0			0			2
instrucciones:      			0			0			2
edad:               			1			0			0
exámenes:           			1			0			2
introducirles:      			0			0			1
siguiendo:          			0			0			1
cuatro:             			1			0			0
grupos:             			4			3			2
promedio:           			0			0			1
comenzamos:         			0			1			1
médico:             			0			3			0
mí:                 			5			10			3
respetar:           			0			2			0
quedarme:           			0			1			0
especificado:       			0			0			1
profesora:          			1			2			1
velocidad:          			0			0			1
atender:            			0			1			0
traen:              			1			0			1
obligado:           			0			0			1
propuesta:          			0			1			0
geriátricos:        			0			1			0
encerrado:          			0			1			0
motivas:            			0			0			1
momentos:           			4			0			0
estrategias:        			0			0			1
gratuito:           			0			1			0
daré:               			1			0			0
diseñarla:          			0			0			1
enfocar:            			0			0			1
convoco:            			1			0			0
subiendo:           			0			0			1
compraron:          			0			2			0
más:                			40			30			25
vean:               			0			1			3
detenerme:          			1			0			0
voluntario:         			0			0			1
nudo:               			1			0			0
flexibilidad:       			0			1			0
vale:               			1			4			0
queremos:           			1			0			0
encantadísimo:      			0			1			0
preocupaciones:     			1			0			0
aterrizado:         			1			0			0
reemplazando:       			0			0			1
usaran:             			0			0			1
bajaron:            			0			1			0
distancia:          			0			0			1
muerto:             			1			1			0
ayudado:            			0			0			1
web:                			0			2			12
sacarlos:           			0			1			0
aprovechaban:       			0			0			1
paradigmas:         			0			0			1
tesis:              			0			14			3
andrológico:        			0			1			0
viernes:            			0			3			0
lógicas:            			0			0			1
encuesta:           			0			0			1
divertido:          			0			1			0
razones:            			2			1			0
taos:               			0			0			3
chiquita:           			0			1			0
x:                  			1			0			0
almuerzo:           			1			0			0
soluciones:         			0			0			3
mini:               			3			0			0
supongamos:         			1			0			0
totalmente:         			1			1			0
borradores:         			0			1			0
quiebre:            			2			0			0
comunique:          			0			0			1
ok:                 			0			3			0
orientadas:         			2			0			0
accedes:            			0			2			0
compromisos:        			1			0			0
hallazgos:          			0			1			0
iba:                			1			1			1
hubiera:            			1			0			3
hola:               			0			1			0
queja:              			0			0			1
superar:            			0			0			1
variable:           			1			0			1
caso:               			7			3			4
lleva:              			0			2			0
pie:                			2			0			0
reconocimiento:     			0			0			1
función:            			1			0			0
dar:                			2			9			2
interesante:        			0			1			0
siguiente:          			4			0			2
recordaban:         			0			0			1
hablando:           			1			6			1
todavía:            			1			0			1
debes:              			1			3			0
visual:             			1			0			0
capítulo:           			5			0			3
crees:              			0			4			0
prueben:            			1			0			0
hallas:             			0			1			0
medio:              			3			2			0
cambiar:            			0			1			1
hora:               			3			3			9
explica:            			0			1			0
rompecabezas:       			0			1			0
asignación:         			0			0			5
habíamos:           			0			0			3
enseno:             			0			2			0
has:                			0			0			1
contar:             			0			1			0
eléctrico:          			0			2			0
preparación:        			0			2			0
a=b:                			0			0			1
orgullo:            			0			0			1
aplicas:            			0			1			1
opiniones:          			1			0			0
recomendarían:      			0			0			1
javier:             			1			0			0
corriges:           			0			0			1
cinco:              			0			1			0
manera:             			6			4			9
conocieran:         			0			0			1
tres:               			3			3			0
vimos:              			1			2			3
contando:           			0			3			0
requieren:          			0			0			2
abusivos:           			0			1			0
srta:               			0			1			0
respecto:           			0			2			0
quise:              			0			1			0
buscan:             			0			4			0
skype:              			0			2			0
música:             			0			1			0
utilizaron:         			0			0			1
terminado:          			0			1			0
leyeran:            			0			0			1
general:            			2			1			2
propio:             			1			0			0
escuchas:           			0			1			0
teléfono:           			0			2			0
tratar:             			0			1			0
mental:             			0			0			1
software:           			0			1			3
sociedad:           			0			1			0
alemanes:           			0			1			0
situación:          			1			1			0
estudias:           			0			1			1
modificando:        			0			1			0
prometes:           			0			1			0
estadística:        			2			0			0
fecha:              			5			1			0
duran:              			0			1			0
obvias:             			0			1			0
salón:              			0			0			1
vía:                			0			2			0
experimentos:       			2			0			0
definitiva:         			1			0			0
cumplido:           			0			1			0
mano:               			3			5			0
bases:              			0			0			1
hacías:             			0			0			2
conversamos:        			0			1			1
aprendan:           			3			0			0
válido:             			0			1			0
debates:            			1			0			0
asistir:            			0			0			1
sacado:             			0			1			0
información:        			4			7			1
mail:               			1			0			0
funcionan:          			0			0			3
pierden:            			0			0			1
dl:                 			0			1			0
enfermos:           			0			2			0
vargas:             			0			1			0
profesor:           			12			11			10
guido:              			0			1			0
draga:              			0			0			2
relacionada:        			0			0			2
comienzo:           			0			1			0
recibo:             			0			1			0
pregunte:           			0			1			0
ignorare:           			1			0			0
ogro:               			1			0			0
citan:              			1			0			0
tengan:             			1			0			2
máximo:             			1			0			0
parcial:            			3			0			3
drakar:             			0			1			0
aplauso:            			0			1			0
universidades:      			0			1			0
tocaba:             			0			0			1
aprendiendo:        			1			1			4
enfrentarse:        			2			0			0
fulanito:           			1			0			0
salir:              			0			3			0
utilizaba:          			0			0			1
terminando:         			0			1			0
quede:              			3			2			0
íbamos:             			0			0			4
vuelve:             			2			0			0
steve:              			0			1			0
interesantes:       			2			1			0
procedimiento:      			0			1			0
pelean:             			0			1			0
previa:             			1			0			0
hospicios:          			0			1			0
trato:              			0			8			2
aire:               			2			4			0
tratado:            			0			1			0
reciban:            			1			0			0
domingo:            			0			2			0
taxi:               			0			1			0
base:               			2			0			0
difíciles:          			0			0			1
crearle:            			0			1			0
control:            			0			3			4
agradable:          			1			1			0
organizaciones:     			0			1			0
venta:              			1			7			0
dispuestos:         			0			2			0
horarios:           			0			0			1
quiera:             			0			1			0
programas:          			0			0			3
rendir:             			1			0			0
rico:               			0			1			0
especie:            			1			0			0
haga:               			2			5			0
enfatizando:        			0			0			1
costa:              			0			1			0
componente:         			0			1			2
productivas:        			0			1			0
espectaculares:     			1			0			0
gráfico:            			0			1			0
clásico:            			0			1			0
considerando:       			1			0			0
cambia:             			0			1			0
servía:             			0			1			0
juntar:             			0			0			1
utilidad:           			0			0			1
procede:            			0			1			0
llegando:           			0			1			0
hablábamos:         			0			0			2
dígalo:             			0			2			0
reportes:           			0			1			0
entender:           			0			0			3
personalidad:       			1			0			0
saliendo:           			1			0			0
escenas:            			0			1			0
invertidas:         			0			0			1
costumbre:          			0			1			0
tuvo:               			0			1			0
conclusiones:       			1			0			0
hipnotizada:        			0			1			0
anos:               			0			1			0
borrar:             			0			1			0
raro:               			0			2			0
resolver:           			8			2			6
fase:               			1			0			1
gráfica:            			0			0			1
dudas:              			1			0			2
dejado:             			1			0			0
identificar:        			2			0			0
ensenas:            			0			0			1
c++:                			0			3			0
dejando:            			0			1			0
liderar:            			0			1			0
presentaste:        			1			0			0
resto:              			2			3			0
podría:             			1			0			2
practicas:          			0			0			7
incorporarle:       			1			0			0
mapas:              			0			1			0
literatura:         			8			0			0
teníamos:           			1			1			3
quieras:            			0			1			0
sola:               			0			1			1
realizando:         			1			0			0
apurado:            			0			2			0
momento:            			0			4			1
entregas:           			0			1			0
hicieron:           			0			1			1
aprendido:          			3			0			1
previsto:           			0			0			1
secuencial:         			0			0			4
german:             			0			1			0
preguntando:        			0			2			0
día:                			2			5			2
desarrollen:        			0			0			1
hagan:              			6			1			1
están:              			28			16			10
forma:              			4			4			2
comunica:           			0			1			0
invertir:           			0			0			1
relaciona:          			0			1			0
interese:           			0			2			0
enlace:             			1			0			1
básicamente:        			1			3			1
clientes:           			0			1			0
probados:           			0			1			0
mediados:           			0			1			0
colocar:            			0			2			0
entras:             			0			2			0
perfecto:           			0			2			0
logrado:            			1			0			0
asociando:          			0			0			1
and:                			0			0			2
deme:               			0			1			0
sentidos:           			1			0			2
básico:             			1			0			0
respuesta:          			2			0			0
jugar:              			0			0			1
ven:                			1			3			3
título:             			2			0			0
chica:              			3			2			0
experimentar:       			1			0			0
ensenan:            			0			1			0
logrando:           			1			0			0
sabían:             			0			0			6
árbitros:           			0			1			0
punto:              			1			1			2
quedo:              			1			1			0
tarea:              			5			0			2
pido:               			2			0			1
vendedores:         			0			9			0
habrán:             			1			0			0
duermes:            			0			1			0
interrumpir:        			0			1			0
becas:              			0			1			0
global:             			1			0			0
cumplan:            			0			1			0
motivaciones:       			1			1			0
incumpliendo:       			0			1			0
recibí:             			0			0			1
ayudaba:            			0			0			2
coach:              			1			0			0
tapia:              			0			1			0
motivar:            			1			1			2
único:              			3			1			1
barato:             			0			1			0
historia:           			0			1			0
responsables:       			0			0			1
dicto:              			0			1			0
simple:             			0			3			0
adquirir:           			0			0			1
cuenta:             			3			2			9
entiendo:           			2			0			0
programa:           			0			1			5
quedaba:            			0			1			0
anteayer:           			0			1			0
solos:              			0			0			1
tartamudea:         			0			1			0
desconocido:        			1			0			0
relacionados:       			1			0			1
banda:              			0			0			2
hizo:               			1			3			2
mandan:             			0			1			0
tú:                 			6			32			5
juzgar:             			0			1			0
sentencia:          			0			0			1
heladeras:          			0			0			2
resume:             			1			0			0
phd:                			2			0			0
respetuoso:         			0			1			0
menospreciamos:     			0			0			1
busco:              			3			0			0
tendría:            			0			0			1
celular:            			1			1			0
acento:             			0			1			0
sé:                 			5			7			1
prefiero:           			1			1			0
vendedor:           			0			1			0
pasaban:            			0			0			1
ama:                			0			3			0
quedó:              			0			1			0
puedas:             			1			1			0
politécnicos:       			0			3			0
requisitos:         			1			0			0
seguirme:           			1			0			0
equivocas:          			0			2			0
extremadamente:     			0			1			0
solides:            			0			0			1
enfrentado:         			1			0			0
funciono:           			0			1			0
extranjero:         			1			0			0
aprendiz:           			0			1			0
distinto:           			0			0			1
cuchillo:           			0			1			0
ósea:               			2			0			0
negociar:           			0			3			0
ten:                			1			0			0
practica:           			0			0			1
delicado:           			0			1			1
duermen:            			1			0			0
gratificante:       			0			0			1
manejemos:          			0			1			0
barbaridades:       			1			0			0
perseguía:          			1			0			0
reglas:             			1			0			0
sesión:             			0			0			1
veces:              			10			13			9
habías:             			0			0			1
creo:               			5			14			7
previos:            			1			0			0
enfocarme:          			0			0			1
inquietudes:        			4			0			1
seguir:             			0			1			0
pelea:              			0			1			0
hernández:          			2			0			0
cree:               			0			1			0
expresiones:        			0			0			1
muertos:            			1			1			0
bloque:             			0			0			3
leído:              			0			1			2
darme:              			1			0			1
memoristas:         			1			0			0
déjeme:             			0			1			0
repente:            			0			1			0
suelen:             			0			0			1
b=a:                			0			0			1
paralelos:          			0			0			1
escrito:            			0			1			0
complejas:          			1			0			0
quejarse:           			2			0			1
profundidad:        			0			1			0
coraje:             			0			2			0
hice:               			1			3			1
común:              			0			1			0
pusieron:           			0			2			0
concatenar:         			0			1			0
prohibidas:         			0			1			0
leer:               			12			2			0
salgo:              			0			1			0
enviar:             			1			1			1
casa:               			4			7			0
diseñado:           			1			0			0
memoricen:          			0			0			1
triviales:          			1			0			0
retroalimente:      			2			0			0
enseñanza:          			0			1			0
útil:               			1			0			3
continuar:          			1			0			0
objetivos:          			0			1			0
levante:            			0			1			0
chicos:             			8			9			5
física:             			0			1			0
llevaba:            			0			0			2
actual:             			1			1			0
traducir:           			0			1			0
habían:             			0			1			13
relacionado:        			1			0			0
poner:              			3			3			0
años:               			4			3			0
semestre:           			17			0			4
indicando:          			2			0			0
matan:              			1			1			0
voz:                			0			1			0
levantan:           			1			0			0
estructura:         			2			1			3
instrumentos:       			2			0			0
auditivos:          			0			0			1
calles:             			0			1			0
hemos:              			4			0			0
administrativo:     			0			1			0
mostrar:            			0			1			0
frecuente:          			0			0			1
mirando:            			0			1			0
basa:               			1			1			0
aprendizaje:        			1			0			0
diseñados:          			0			0			1
sientes:            			0			2			0
conocer:            			4			0			1
persona:            			6			6			3
lejos:              			0			1			0
lectura:            			1			0			0
ver:                			12			14			16
sistema:            			2			5			1
verifico:           			1			0			0
labor:              			0			1			0
desenvolverse:      			0			1			0
vínculos:           			0			4			0
encuentres:         			1			0			0
libres:             			1			0			0
espere:             			0			2			0
comunicativos:      			0			1			0
comienza:           			0			3			0
muero:              			1			0			0
desconexión:        			1			0			0
primera:            			0			3			3
línea:              			1			0			0
entero:             			1			0			0
presentarse:        			1			0			0
dándola:            			0			1			0
vacan:              			0			2			0
seguro:             			0			1			0
pagándole:          			0			1			0
son:                			34			29			12
temas:              			0			9			11
grupo:              			7			3			10
concluyendo:        			0			1			0
aprenda:            			0			0			1
extorsionista:      			0			1			0
parqueadero:        			0			1			0
tercero:            			0			0			1
complicado:         			3			4			1
escuche:            			0			0			1
calificas:          			0			0			1
míos:               			0			1			0
atareada:           			0			0			1
específicas:        			0			0			1
adelante:           			2			1			0
retomemos:          			1			0			0
conductor:          			1			0			0
reflexionemos:      			0			1			0
capítulos:          			1			0			0
hacerles:           			0			0			4
diseñas:            			1			0			0
aplicados:          			0			0			1
enfermo:            			0			1			0
principal:          			0			0			1
morir:              			0			0			1
espero:             			0			1			0
carta:              			0			0			1
relacionábamos:     			0			0			1
mando:              			2			1			0
indicar:            			2			0			0
escuelitas:         			0			1			0
esquema:            			0			1			0
bahía:              			0			3			0
recomienda:         			1			0			0
imposible:          			0			2			1
abad:               			1			0			0
además:             			1			2			1
libro:              			10			3			1
medir:              			1			0			0
trabajaos:          			0			1			0
hacienda:           			2			0			0
clave:              			2			1			0
vienen:             			1			0			0
valen:              			0			1			0
confundido:         			1			0			0
desesperada:        			0			1			0
natural:            			0			1			0
comenzaron:         			0			4			0
contrato:           			0			1			0
desarrolla:         			0			0			3
mitad:              			2			0			0
montones:           			0			1			0
escribir:           			1			0			0
compra:             			0			2			0
comunicativa:       			3			0			0
curiosidad:         			0			4			0
cumplió:            			0			1			0
espacio:            			1			0			1
callado:            			0			1			0
funcionaba:         			0			0			2
multiplicado:       			0			1			0
ejercicios:         			1			3			4
bronx:              			0			1			0
recopilación:       			6			0			0
extraño:            			1			0			1
valentía:           			0			1			0
lados:              			1			0			1
saca:               			0			1			0
compartirlo:        			0			0			1
acceso:             			0			2			0
reforma:            			2			0			0
recurso:            			1			0			0
menor:              			0			0			1
shows:              			0			1			0
daba:               			0			0			1
complejos:          			0			0			3
cierra:             			1			1			0
abiertamente:       			2			0			0
lunes:              			1			1			0
dictado:            			1			0			1
particularmente:    			1			0			0
aclarar:            			1			1			0
programadores:      			0			0			1
acercaban:          			0			0			1
pudre:              			1			0			0
viejo:              			0			2			0
ley:                			0			1			0
investigadores:     			1			2			0
networking:         			0			1			0
piensen:            			2			0			0
programar:          			0			2			5
laboratorios:       			0			0			2
posteriormente:     			1			0			0
vayan:              			1			0			0
acostumbrados:      			2			0			0
análisis:           			4			0			0
orientada:          			1			0			6
ciencias:           			1			0			0
soliciten:          			1			0			0
apoco:              			2			0			0
igualito:           			0			1			0
culpa:              			0			0			1
concepto:           			0			10			7
denle:              			0			1			0
vagos:              			1			0			0
ciegos:             			0			1			0
utilizarlas:        			0			0			1
da:                 			8			8			2
talleres:           			0			2			2
condicionales:      			0			0			1
bala:               			13			2			0
anécdota:           			1			1			0
fácil:              			1			2			2
sentimientos:       			0			1			0
video:              			0			0			2
ayudaron:           			0			0			1
loco:               			0			1			0
invitaba:           			0			0			1
ponerte:            			0			1			0
comprensión:        			0			1			0
diseño:             			3			1			3
temor:              			1			0			0
entrego:            			0			1			0
deben:              			1			0			0
tenía:              			2			3			7
verifique:          			1			0			0
mal:                			4			6			3
trabajarlo:         			0			1			0
puntuales:          			0			2			1
cosas:              			24			18			11
añade:              			0			0			1
andar:              			0			1			0
negocio:            			0			3			0
coméntele:          			1			0			0
gana:               			1			0			0
sea:                			2			8			2
tendrás:            			0			0			1
comprende:          			0			1			0
jobs:               			0			1			0
dije:               			1			4			1
artículos:          			1			3			0
conceptos:          			0			2			13
astutos:            			0			1			0
atravesó:           			1			0			0
trayecto:           			1			0			0
satisfacer:         			1			0			0
curiosos:           			0			2			0
compañía:           			0			0			2
preguntaba:         			0			1			3
desarrollando:      			0			0			1
oficina:            			2			4			1
darles:             			1			3			2
partes:             			2			0			1
profesores:         			5			7			5
utilizan:           			1			0			5
ideas:              			1			6			0
comentado:          			1			0			0
intentado:          			1			0			0
jefe:               			0			1			0
concluir:           			1			0			0
frente:             			1			0			0
piezas:             			0			0			3
debía:              			1			0			0
expectativas:       			1			1			0
elemental:          			3			0			0
comenzaba:          			0			1			1
alcanzo:            			0			2			0
medicamento:        			0			1			0
vente:              			0			1			0
dio:                			0			3			1
romper:             			0			0			1
diría:              			1			1			0
mundo:              			0			10			2
abierto:            			0			1			0
enmarcar:           			0			0			1
s:                  			0			1			0
llamarlos:          			1			0			0
cuente:             			0			1			0
envía:              			3			0			0
alto:               			0			0			2
clasifico:          			0			0			1
incluyo:            			0			1			0
exponerlos:         			1			0			0
estresante:         			0			1			0
ves:                			0			1			2
sentir:             			1			2			0
generosa:           			2			0			0
trivial:            			0			0			1
ejercicio:          			0			3			1
recuerdo:           			0			0			1
internacional:      			1			0			0
nombres:            			0			0			1
justifíquelo:       			1			0			0
evaluación:         			2			2			2
siento:             			1			2			0
levanten:           			1			1			0
mantenimiento:      			0			2			0
poderoso:           			0			1			0
pide:               			2			1			0
ponía:              			0			0			2
discernir:          			0			0			1
salen:              			0			1			0
área:               			2			1			3
cristina:           			1			0			0
estuve:             			0			0			1
necesito:           			0			1			0
sido:               			5			2			1
peligrosos:         			0			1			0
economía:           			0			2			0
revisaban:          			0			0			1
hablar:             			2			11			0
chiros:             			0			1			0
modulan:            			0			1			0
pregrado:           			0			0			1
asocian:            			0			0			1
exploraran:         			0			0			1
ganar:              			1			0			0
hecha:              			0			0			2
consideraba:        			0			0			1
contestada:         			0			0			1
salieron:           			0			1			0
argumentos:         			1			1			0
canadiense:         			0			0			1
apuntan:            			0			1			0
país:               			0			2			0
sacar:              			1			2			1
tío:                			0			7			0
calculando:         			0			1			0
gráficos:           			0			1			0
aplicar:            			2			0			1
tipos:              			1			2			0
topan:              			1			0			0
resultados:         			1			0			7
apurados:           			1			0			0
relaja:             			0			1			0
jamás:              			1			1			0
fomentar:           			1			0			0
sean:               			1			0			1
recopilar:          			1			0			0
completas:          			0			1			0
documentos:         			0			1			0
decían:             			0			3			1
presentaciones:     			1			5			1
cobrando:           			0			1			0
funcionalidad:      			0			0			2
próximo:            			1			1			0
resuman:            			1			0			0
será:               			1			0			0
investigador:       			1			1			0
cabeza:             			0			1			1
intensión:          			0			0			1
buena:              			1			2			0
gustaba:            			0			1			0
repasar:            			0			0			1
toca:               			1			1			0
diferente:          			1			3			6
ibas:               			0			0			2
pudiera:            			2			0			0
quedado:            			1			0			0
motivadores:        			0			1			0
cache:              			0			0			2
contestaron:        			0			1			0
analizado:          			0			0			1
responda:           			1			0			0
inicial:            			1			0			2
mira:               			2			5			0
capaces:            			0			0			3
tomarse:            			0			1			0
esposa:             			0			5			0
camiones:           			0			1			0
ojo:                			1			0			0
alza:               			0			1			0
sentencias:         			0			0			3
tecnología:         			0			0			1
papel:              			6			1			3
financiera:         			0			1			0
fichas:             			0			5			0
deberían:           			1			0			0
mentales:           			0			1			0
demandaban:         			1			0			0
termina:            			0			2			0
meses:              			3			2			0
alcen:              			0			1			0
mejoren:            			1			0			0
automaticemos:      			0			1			0
perdido:            			0			0			1
incurables:         			0			2			0
esconde:            			0			1			0
media:              			0			0			1
congreso:           			0			1			0
negociable:         			1			0			0
tierra:             			0			1			0
argumenten:         			1			0			0
dañando:            			1			0			0
ocultarlo:          			0			1			0
recuperar:          			1			1			0
nombre:             			0			0			4
responderle:        			1			0			0
equipo:             			6			3			0
gradúan:            			0			2			0
hecho:              			10			3			5
influencia:         			1			0			0
contacto:           			1			0			0
conocen:            			0			2			0
descifrar:          			0			1			0
llamando:           			0			1			0
logro:              			0			1			0
cita:               			1			0			0
sentarme:           			1			0			0
normalmente:        			1			0			0
abiertos:           			1			0			0
buenas:             			0			3			1
parecía:            			0			0			1
enfrentan:          			1			0			0
online:             			0			0			1
introducción:       			2			0			0
argumento:          			0			1			0
justificar:         			4			0			0
actuarles:          			0			1			0
fundamentos:        			0			0			2
ciclos:             			1			0			0
leyeron:            			0			3			0
llegabas:           			0			1			0
caballo:            			0			1			0
lecturas:           			0			1			0
ayudar:             			2			1			0
diciendo:           			1			12			0
explicarlos:        			0			1			0
utilizado:          			0			1			0
pedazos:            			0			1			0
dedicas:            			0			2			0
resolviendo:        			0			0			1
piden:              			0			1			0
responde:           			2			0			0
definitivamente:    			4			0			0
obligo:             			1			0			0
vieran:             			0			0			1
min:                			0			1			0
sociólogo:          			1			0			0
dinero:             			0			3			1
estuvieran:         			0			0			2
venderles:          			0			1			0
bastan:             			0			0			1
escribe:            			1			0			0
larga:              			0			0			1
compradores:        			0			9			0
instructor:         			0			1			0
tomarlo:            			0			1			0
viven:              			0			0			1
semanas:            			3			0			1
proyectos:          			8			2			2
entregaba:          			0			0			1
sobe:               			0			0			1
encontrado:         			0			0			1
alguien:            			3			14			3
sí:                 			6			3			3
mayor:              			0			0			4
pone:               			1			1			0
penas:              			0			3			0
reprobado:          			0			0			1
amigos:             			0			1			1
completamente:      			0			1			1
arman:              			1			0			0
jornal:             			1			2			0
entenderlo:         			0			0			1
hechas:             			0			0			1
actualizadas:       			0			1			0
revisor:            			0			1			0
erudito:            			0			2			0
evaluar:            			0			3			3
producir:           			1			0			0
electrónico:        			1			0			0
eficiente:          			0			0			1
volver:             			0			0			1
meter:              			0			1			0
ofreciendo:         			1			0			0
programen:          			1			0			0
naturaleza:         			1			0			1
ínsito:             			0			1			0
implementar:        			1			0			0
transmitir:         			0			1			0
positivamente:      			0			1			0
trae:               			0			0			1
código:             			0			0			6
profundizar:        			0			2			0
frece:              			0			2			0
ejemplo:            			9			23			10
líneas:             			0			0			1
acepte:             			0			1			0
venderle:           			0			1			0
límite:             			0			1			1
terminan:           			0			2			0
agresiva:           			0			0			1
ido:                			0			1			1
compleja:           			0			0			1
puro:               			0			1			0
seguridad:          			1			0			0
explicar:           			0			3			1
énfasis:            			1			0			0
claras:             			0			1			0
pedir:              			2			1			1
asistan:            			0			1			0
depende:            			0			1			0
conteste:           			0			1			0
presentaban:        			0			0			2
decirle:            			1			0			0
clase:              			24			30			34
molesta:            			1			0			0
lejanas:            			0			1			0
únicos:             			0			1			0
habilidad:          			0			0			6
participen:         			1			0			0
tendrán:            			3			0			0
final:              			7			7			3
fórmula:            			0			0			1
sentimiento:        			0			1			0
schedule:           			0			1			0
libros:             			1			4			1
clara:              			0			2			1
tuvieran:           			0			0			6
plagio:             			1			0			0
tuvimos:            			0			1			0
carne:              			1			0			0
verse:              			1			0			0
seminal:            			1			0			0
frecuentes:         			1			0			0
materia:            			3			3			5
matemáticas:        			0			0			2
consistía:          			0			0			1
tomaba:             			1			0			0
lio:                			0			2			0
informe:            			0			1			0
trajo:              			0			1			0
cubiertas:          			0			0			1
claro:              			4			4			3
burlarse:           			0			0			1
engañarlos:         			0			1			0
pedido:             			1			0			1
personas:           			2			4			3
encantada:          			0			1			0
llegaban:           			0			0			1
impresión:          			0			1			0
lazos:              			0			0			1
relacionadas:       			0			0			3
experimento:        			1			0			0
debieron:           			0			0			1
manes:              			0			6			0
localmente:         			0			1			0
parte:              			7			4			11
mañana:             			0			2			0
equilibrio:         			0			1			0
medicinas:          			0			1			0
sirvieron:          			0			1			0
cubrir:             			1			1			1
clic:               			0			0			2
cuartil:            			0			3			0
hacerlo:            			5			6			0
observaran:         			0			0			1
das:                			2			2			3
pensando:           			0			2			1
entienden:          			1			3			1
dejo:               			0			3			0
colaborativo:       			0			0			1
podían:             			0			0			6
afuera:             			1			2			0
digo:               			7			24			1
correo:             			1			0			1
abusa:              			0			1			0
busque:             			1			0			0
ah:                 			2			0			0
envían:             			1			0			0
miles:              			1			0			0
aprender:           			2			3			4
permitía:           			0			0			1
verificar:          			2			0			0
arrastrar:          			0			0			1
ayuden:             			0			1			0
convencional:       			0			1			0
malas:              			0			1			0
ocurre:             			0			1			0
maquina:            			0			1			0
positivas:          			1			1			0
ve:                 			0			5			1
c:                  			0			1			0
veía:               			0			1			4
exigir:             			2			0			0
coheteros:          			0			1			0
money:              			0			1			0
esquemas:           			0			1			0
quieren:            			4			4			1
gustan:             			0			2			0
enganchados:        			0			1			0
admirar:            			0			1			0
preguntar:          			1			8			1
anima:              			0			1			0
busca:              			8			3			0
penal:              			0			2			0
camino:             			0			5			0
faltar:             			0			1			0
dirigida:           			0			4			0
influye:            			1			0			0
entregarme:         			1			0			0
mayores:            			1			0			0
piensan:            			2			3			2
atemorizados:       			1			0			0
complejo:           			0			1			5
malo:               			0			4			0
configuran:         			0			2			0
doy:                			5			4			0
política:           			0			5			0
amenazando:         			0			1			0
preguntarles:       			0			0			1
estudios:           			0			1			0
dientes:            			0			1			0
sumo:               			0			2			0
hable:              			1			0			1
utilizabas:         			0			0			1
horario:            			1			0			1
cumplirse:          			1			0			0
enfrenta:           			1			0			0
comunicación:       			2			7			4
dropbox:            			0			2			0
conocimientos:      			1			0			0
asado:              			1			0			0
empezaran:          			1			0			0
nuevas:             			0			0			2
lenguaje:           			0			0			1
http:               			0			0			2
tuvieron:           			1			0			0
darle:              			1			0			2
comunes:            			0			0			2
posibilidad:        			0			0			1
desarrollarlo:      			0			0			1
tacaño:             			0			1			0
paradigma:          			0			0			6
exigen:             			1			0			0
revés:              			1			0			0
niveles:            			0			0			2
poquito:            			1			0			0
errores:            			0			0			9
debo:               			4			2			0
